STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
50,High,366630.4835130349,391241.9861447036,412206.8320830929,612180.7533733133,275000,300000,350000,400000,956,912,892,995,6.712890427397776,48.51300505613881,66.97486458502526,245550.26986027847,1
50,Low,189407.82251198636,177170.1461844517,197797.90979738784,263103.1773911946,137500,150000,170000,200000,966,1101,1072,1122,-6.461019489709945,33.01615657147315,38.90829528677179,73695.35487920826,1
50,Middle,216935.73840624964,229187.8091159353,243515.2533046987,284927.9860031104,187500,200000,224000,260000,3043,2827,3055,3065,5.647788049906987,17.00621712045035,31.34211453418226,67992.24759686078,1
51,High,611924.0574107252,579145.1472940787,687323.4973135551,737523.8331652663,625000,500000,600000,625000,11756,11938,12999,13435,-5.3566957728947635,7.303742131314036,20.525386154288462,125599.77575454116,1
51,Low,196225.2527531612,185456.06083050376,221430.13343998152,257759.846704682,137500,150000,180000,210000,11493,11428,11534,12529,-5.488178392719109,16.406851542880727,31.35916151879154,61534.59395152077,1
51,Middle,324944.77140989684,284207.0201489256,338474.2790042654,388806.53796460095,275000,250000,300000,348000,34384,33936,35511,36515,-12.53682312973216,14.870334936056189,19.653114059233967,63861.76655470411,1
53,High,558389.8257605468,566500.8948458071,821277.7472978506,1049746.5706883476,625000,450000,700000,850000,9502,9459,10872,10948,1.4525818184836563,27.818703738436838,87.9952897169205,491356.7449278007,1
53,Low,244743.93607485472,230967.5999900763,321934.78150860424,415094.169479273,225000,200000,260000,360000,9817,9787,11024,11740,-5.62887739149743,28.937347972815715,69.60345418009328,170350.2334044183,1
53,Middle,339968.48319070967,307738.423779418,419696.3360257561,523443.1265658331,350000,279000,375000,465000,28279,28210,32424,32629,-9.480308029968711,24.71948921987021,53.96813306138175,183474.64337512344,1
54,High,232973.47493589477,212246.4327668872,279282.79067958146,298679.65548204887,187500,175000,225000,250000,2886,2747,2746,2615,-8.896739070707872,6.945241686846808,28.20328819159944,65706.1805461541,1
54,Low,79178.3373091155,82239.0837503483,102052.4645050752,113982.12697175349,65000,60000,75000,81000,2892,2846,2790,2644,3.86563616419922,11.689734808986422,43.956201715581074,34803.789662637995,1
54,Middle,123749.2446940147,108186.20973931285,139423.21780716462,157527.96847790797,95000,90000,125000,140000,8663,8339,8056,8000,-12.57626662141121,12.9854632216163,27.29610501253186,33778.72378389326,1
55,High,334327.79864612164,346473.8755802,389591.2182803662,431722.17149868724,275000,275000,340000,350000,8381,8245,8095,8266,3.6329844491737,10.814143451252493,29.13140135129934,97394.3728525656,1
55,Low,150506.96451855046,151411.77891440454,165519.17185506507,199635.79111679757,137500,130000,140000,160000,10170,10250,10452,10569,0.6011777586163155,20.61188373489829,32.64222805595938,49128.826598247106,1
55,Middle,198508.840679535,187224.39791554597,219805.86521115518,251418.97728070323,162500,170000,200000,225000,28541,28264,27860,28570,-5.6846046379396284,14.38228776979136,26.65379356407824,52910.136601168226,1
56,High,352185.8462359101,343099.94847352826,452282.75004310027,526051.5404785316,275000,250000,350000,395000,740,837,846,792,-2.5798588613057647,16.310325880967504,49.367598414547984,173865.69424262154,1
56,Low,172930.68783068782,174758.41475817154,213852.42876197406,284357.15623829147,137500,125000,160000,200000,821,842,939,996,1.0569130039390109,32.96886917977998,64.43417869053904,111426.46840760365,1
56,Middle,203130.64337411887,208884.7233325597,254128.29030658622,296014.08555292827,187500,180000,230000,256000,2446,2512,2670,2637,2.8326991254801284,16.48214576811187,45.725962678974014,92883.4421788094,1
