STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
5,Middle,124414.7428108546,116507.94094871504,152360.00434785298,182944.18775040415,112500,100000,130000,150000,12391,12360,12766,12553,-6.355196887044265,20.073629909280154,47.043817812275485,58529.44493954955,1
6,High,768285.7902872341,833169.4982839836,1256246.0901683986,1448318.975090837,875000,650000,945000,1000000,46565,45284,48362,48591,8.445256806388645,15.289431459778024,88.51304988334657,680033.184803603,1
6,Low,428629.73491002026,312208.6059528657,471448.17448651127,566217.1897928151,350000,250000,380000,450000,45272,44024,44134,47402,-27.16123485497202,20.101682525236996,32.09937241327362,137587.45488279487,1
6,Middle,542682.5397586303,412071.9289435171,612060.4420650244,692806.8916375696,625000,350000,500000,600000,131522,129694,134853,137393,-24.06759039515167,13.192561391505,27.663383448030284,150124.3518789393,1
8,High,481793.3118359393,538849.666595265,721619.9160473692,866735.1390135438,450000,400000,600000,700000,7458,7322,8538,8757,11.842496223516408,20.10964771607673,79.89771084839909,384941.82717760454,1
8,Low,197820.49669987874,193791.72478877887,312295.2578175177,364709.95883438445,162500,169000,290000,340000,7264,7420,8377,8731,-2.0365796155148077,16.78370058615942,84.36409013151973,166889.4621345057,1
8,Middle,278497.9654311855,268512.8523580002,418668.37969434186,495488.8842113272,225000,230000,390000,450000,21703,21504,24459,25197,-3.585345069837703,18.348771543977083,77.91472316294472,216990.91878014168,1
9,High,628835.1271588363,806141.6717722501,743143.1104452073,825435.2522905543,625000,500000,480000,500000,5692,5716,5500,5793,28.19603055804295,11.073525501171215,31.264176672188214,196600.125131718,1
9,Low,290742.598350958,282823.9548724764,271168.8196557911,324911.0186879718,225000,230000,215000,250000,5312,5246,4675,5196,-2.7235924571751116,19.81872366461547,11.75212044289732,34168.420337013784,1
9,Middle,358165.62936463207,339531.9739575699,320354.4633975147,351375.40253084333,350000,280000,270000,300000,16014,15699,15153,15575,-5.202524720229946,9.683317286837989,-1.8958342948300928,-6790.226833788736,0
10,High,428106.87970858515,397837.2612343595,481275.67830956285,464858.47090663057,350000,350000,375000,395000,1332,1317,1426,1538,-7.070575108447296,-3.411185759603775,8.584676616984627,36751.59119804541,1
10,Low,207289.81647142637,199414.29526807705,225263.03054743414,256362.40417765014,187500,180000,200000,200000,1348,1302,1448,1505,-3.7992803203793213,13.805804509793866,23.673419438329297,49072.58770622377,1
10,Middle,284008.6530697226,260539.41281502583,289871.40184390236,312986.9911005324,225000,250000,250000,300000,3834,3904,4184,4308,-8.263565212196255,7.974429043220325,10.203329270990839,28978.338030809828,1
11,High,831709.204222665,964125.7532379004,1103840.1587925772,1216675.611189875,875000,800000,1000000,1100000,614,535,651,764,15.921015222982291,10.222082563178494,46.28617851199671,384966.40696721,1
11,Low,364614.4680302509,354206.519482184,687549.8921636421,653908.1953642385,350000,300000,455000,550000,532,514,605,709,-2.854507832421883,-4.8929826304731145,79.34236095918875,289293.72733398754,1
11,Middle,509868.83922439616,501099.44223908347,726139.4558676028,797714.6369466641,450000,400000,675000,685000,1569,1610,1904,2127,-1.7199319336032672,9.856946968064431,56.45487144500419,287845.7977222679,1
