puma_geoid,STATEFIP,mean_val_2007,mean_val_2009,mean_val_2019,mean_val_2021,med_val_2007,med_val_2009,med_val_2019,med_val_2021,med_inc_2007,med_inc_2009,med_inc_2019,med_inc_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07,decimated
0400112,4,315650.587803086,264951.5391497399,655737.7121244036,902768.1697333439,225000,200000,535000,630000,63000,63000,154500,149700,703,664,1155,1324,-16.06176278847101,37.67214437135725,186.00237243864174,587117.5819302578,1,TRUE
0400113,4,411841.66365741234,454277.0793308149,460683.9025571354,606622.7135499094,275000,260000,415000,525000,64000,85000,118000,129000,509,515,933,892,10.303818049040846,31.678730292659676,47.295129920251185,194781.04989249707,1,FALSE
0400114,4,317472.7128921698,264863.9826951021,305662.21321111545,394217.38008839666,275000,180000,285000,350000,72000,74600,89000,87000,1759,1602,640,688,-16.571102983246412,28.971578117874106,24.17362629281886,76744.66719622689,1,TRUE
0400115,4,218510.74643187618,162413.07373665686,257646.8907993259,345984.71146866685,225000,150000,250000,310000,60400,60000,78100,87000,813,835,512,627,-25.67272942464116,34.28639111276715,58.337618226265356,127473.96503679067,1,TRUE
0400116,4,337310.1371347589,249331.66099265363,432615.8265468006,474059.68901188596,275000,220000,320000,434000,80000,82700,110290,102000,841,901,599,635,-26.082369444757283,9.579830399617135,40.54119245829076,136749.5518771271,1,TRUE
0400117,4,213181.76725425755,133447.86968462923,528857.4301654482,703454.1883328398,225000,120000,400000,470000,45000,44000,96000,120000,703,593,595,663,-37.401837219283074,33.01395578630152,229.97858934804881,490272.4210785822,1,TRUE
0400118,4,199707.5999022092,104400.32692591318,331313.1315990602,376734.96633720095,187500,99000,250000,325000,51000,44700,77000,78000,986,822,383,435,-47.72340813417472,13.709639131692537,88.64327973581213,177027.36643499177,1,TRUE
0400119,4,428987.1387871388,313989.2272027562,207467.12666109097,288753.5373539763,350000,232000,200000,270000,97200,95000,66300,80000,1166,1168,604,683,-26.806843652588835,39.180381008347005,-32.68946519693816,-140233.60143316252,0,TRUE
0400120,4,383459.4372996278,282627.315945699,362532.22699169064,461093.56677000655,350000,250000,330000,440000,87000,90000,114000,139400,1932,1920,825,870,-26.29538134828601,27.186918138611432,20.24572142938731,77634.12947037874,1,TRUE
0400121,4,403302.66393772,298133.51306093123,229501.17649816224,306215.6328374696,350000,250000,240000,305000,88000,95500,79800,84800,2349,1779,783,961,-26.07697897404157,33.42660700474519,-24.072995241916647,-97087.03110025043,0,TRUE
0400122,4,271148.8845123845,190495.02951535294,176200.91923934338,250046.64591680566,225000,175000,180000,250000,70000,74000,59000,65500,1169,1131,490,481,-29.745228398071372,41.90995540559784,-7.7825282717012225,-21102.23859557882,0,TRUE
0400201,4,145827.33971671888,124601.68494940594,163026.51016361683,239523.74269436672,137500,120000,150000,216000,45400,42200,65000,73500,685,766,759,831,-14.555332908455608,46.92318596158114,64.25160272392029,93696.40297764784,1,TRUE
0400202,4,191848.3391019014,162473.64246710233,252347.64367057104,295550.3883654004,187500,150000,236000,265000,57280,53500,84490,95000,723,707,902,1003,-15.311415659009963,17.120328157780882,54.054181416924855,103702.04926349898,1,TRUE
0400203,4,500014.6813067834,514448.6034555862,304852.6864855431,372285.17005023593,450000,375000,260000,300000,107440,100640,102000,92300,1086,1023,1112,1111,2.886699668713701,22.119694709625158,-25.54515217887756,-127729.51125654747,0,FALSE
0400204,4,163247.46388797002,139043.4324250998,483448.1138726175,552117.2994674704,162500,150000,375000,430000,46800,48000,127500,131400,599,573,1076,1074,-14.826589575370337,14.20404457570112,238.20880662891378,388869.83557950036,1,TRUE
0400205,4,323109.4402575888,267782.97025549924,242496.5186713583,322538.00711972034,275000,230000,225000,300000,83000,76000,92500,99450,996,1015,1152,1162,-17.123136345995427,33.00727321237865,-0.17685436160977402,-571.4331378684728,0,TRUE
0400206,4,254685.41865514312,228260.50929181316,227517.03939731332,294607.2774928775,225000,200000,200000,255000,75000,69100,79000,80860,1132,1205,504,614,-10.375509325530183,29.488005941570123,15.67496837806431,39921.858837734384,1,TRUE
0400207,4,219452.01638464915,190134.5673599255,200605.74412532637,286835.30487008695,187500,169000,190000,180000,55000,62600,67000,58100,1675,1818,381,437,-13.359389222169124,42.98459205180564,30.7052491909349,67383.2884854378,1,TRUE
0400300,4,136787.38443903613,156008.79595075708,150983.17847732632,176226.4831491604,112500,110000,120000,125000,48600,41600,45800,58300,1718,1672,1920,2110,14.052035273974852,16.71928285416574,28.832409415432323,39439.098710124264,1,FALSE
0400400,4,308455.836091583,260392.34872332984,345260.51415834436,419574.16489669844,275000,245000,300000,400000,63000,67000,84000,106000,984,960,1116,1134,-15.5819672525122,21.52393560541132,36.02406432411397,111118.32880511542,1,TRUE
0400500,4,330090.83696510573,254290.85380616676,324755.455376635,388840.88740072143,275000,210000,294000,350000,58000,52700,69300,75200,1426,1457,1410,1534,-22.963370887799552,19.73344279921745,17.798146405931963,58750.0504356157,1,TRUE
0400600,4,226314.42782509126,179357.99081688488,202697.3078201415,275037.86177870433,187500,150000,180000,250000,47600,50600,60000,64000,1460,1500,1548,1470,-20.74831793070524,35.68895647235358,21.529088720436917,48723.43395361307,1,TRUE
0400700,4,181528.2959336514,160689.4459695708,167410.62223235986,192578.74728096375,162500,140000,150000,170000,49600,48700,56700,74100,1437,1248,1325,1361,-11.479670349407778,15.033768295581297,6.087453909307509,11050.451347312366,1,TRUE
0400800,4,220239.62414743868,161303.23136781642,159522.07095169523,227692.00398015027,187500,140000,150000,195000,60000,59000,55000,63800,2533,2627,973,893,-26.76012230213737,42.73385658909702,3.3837597850796475,7452.379832711595,1,TRUE
0400900,4,185164.03133733012,167201.49384898657,183662.3519064163,208071.71493140442,137500,150000,150000,190000,52300,57000,62400,73600,1663,1707,1287,1323,-9.700878382594489,13.29034653624915,12.37156235399806,22907.683594074304,1,TRUE
0500100,5,226582.39431968296,197077.03759553103,259307.5961809949,307722.897257314,162500,150000,200000,250000,64400,64800,91900,98000,1452,1416,1913,2081,-13.021910556088088,18.67099220746528,35.81059472041357,81140.50293763104,1,TRUE
0500200,5,225129.01902487368,211693.74878195906,244559.76647834276,269130.3082290433,162500,170000,200000,210000,67000,69000,83700,92800,1217,1161,1240,1272,-5.96780917054065,10.046845441715954,19.544921127785887,44001.28920416965,1,FALSE
0500300,5,150138.76338944986,137391.9651957968,176047.96793973396,179119.5724393047,112500,110000,145000,150000,45000,49400,64000,58000,1317,1371,1367,1414,-8.490011444005782,1.7447543050438552,19.302682662092117,28980.80904985484,1,FALSE
0500400,5,112438.08923709771,116929.94999596741,122092.18023164265,182352.84142480796,85000,90000,90000,125000,43000,48000,51000,55600,1106,1170,1254,1180,3.99496361895455,49.35669186907316,62.18066552187784,69914.75218771026,1,FALSE
0500500,5,117588.9464660818,113424.85957960028,160231.2973307422,194948.12571589963,95000,90000,140000,160000,53000,54500,70700,80800,1477,1409,1359,1363,-3.5412230584807958,21.666696184514137,65.78779857691119,77359.17924981783,1,FALSE
0500600,5,86313.4218023151,104094.58881787781,131780.38847117795,141439.20404183655,75000,90000,120000,100000,47900,55200,72600,53400,676,633,794,806,20.600697602149495,7.329478750755923,63.86698741451455,55125.782239521446,1,FALSE
0500700,5,81959.76218463058,74675.72967577614,102821.15318048344,119302.29775784748,65000,60000,78000,80000,40400,44400,66200,59700,732,702,753,758,-8.887327530850717,16.028943527247215,45.562035049705784,37342.5355732169,1,FALSE
0500800,5,104299.76917816026,112176.24213634613,139859.27043375178,172732.8733766232,85000,80000,112000,140000,47000,50000,62000,72000,971,1014,873,860,7.551764515155951,23.50477221918794,65.6119421334179,68433.10419846294,1,FALSE
0500900,5,200391.43350787187,211186.82996822795,207152.38291736704,221938.17378725394,162500,143000,150000,180000,68000,66500,75700,81000,999,1002,1097,1160,5.387154665936358,7.13763977109785,10.752326036200374,21546.740279382066,1,FALSE
0501000,5,149304.0069104809,153774.83876552823,222045.13244387927,261480.09901083284,137500,136000,165000,190000,66000,73600,91000,95000,1121,1096,914,896,2.994448673924688,17.759887880866092,75.13267354412666,112176.09210035193,1,FALSE
0501100,5,172307.7158518601,147405.08219081312,183406.19316377142,227904.88930455048,137500,130000,160000,180000,67000,68000,81800,86300,2121,2102,1354,1375,-14.452419346361003,24.262373790749933,32.266212327072765,55597.17345269039,1,TRUE
0501200,5,124255.19050161762,112769.45263885688,196653.09754209465,274675.82433086104,85000,90000,168000,200000,45000,52950,86900,82000,1158,1100,744,791,-9.243668466800356,39.67531036324775,121.05782721993025,150420.63382924342,1,FALSE
0501300,5,126841.71039430342,129802.41313045396,137358.3632905571,166711.37117718768,112500,100000,109000,140000,55000,58900,68400,64200,1225,1275,1214,1135,2.3341712493050033,21.36965466350201,31.432610502447822,39869.66078288427,1,FALSE
0501400,5,103018.08545583182,86889.79744362818,167075.95912384323,173593.28027587748,75000,70000,140000,145000,44201,44000,64800,63000,893,847,1178,1125,-15.655783099481612,3.9008132505786492,68.50757758481564,70575.19482004565,1,TRUE
0501500,5,153359.78527545166,156094.84004716802,133935.39313300888,142866.51468380957,112500,110000,100000,120000,50500,52000,55600,65000,1154,1194,941,895,1.7834237096797487,6.6682311089581425,-6.842256966384627,-10493.270591642096,0,FALSE
0501600,5,95328.74109894782,94595.14211746208,160609.50148390245,182708.79349675923,75000,80000,125000,150000,56000,55000,53560,73000,879,831,1094,1096,-0.7695464904170887,13.759641745150267,91.66181299626525,87380.0523978114,1,FALSE
0501700,5,79034.566691670625,72298.31755985493,145206.54619359717,170751.57425854227,65000,55000,80000,145000,47000,43000,75000,72000,702,703,714,675,-8.523168296848047,17.5922014086659,116.04670134357504,91717.00756687165,1,FALSE
0501800,5,84932.31974168756,94113.36790309315,145771.22131824828,150268.41076818397,65000,65000,86000,100000,48200,46400,58500,64400,899,831,845,777,10.809840340318917,3.0851010297275376,76.92724186176598,65336.091026496404,1,FALSE
0501900,5,89575.39305301645,102024.84537091407,132281.47732265783,153383.59069210308,75000,75000,100000,100000,50000,50000,63000,62700,816,872,726,708,13.898294937460381,15.952432492096749,71.23406938479283,63808.19763908663,1,FALSE
0600300,6,328024.77018521033,296498.69574837206,374232.1736275077,430912.3747732605,275000,250000,325000,400000,64200,62200,87000,89300,1381,1358,1332,1388,-9.610882257165496,15.145731751586245,31.365803420868936,102887.60458805016,1,FALSE
0601301,6,521656.65629878565,311644.3953150842,486844.8182874212,578307.194403174,625000,275000,460000,555000,93600,90000,100000,126000,1034,961,514,600,-40.25871393528509,18.78676175243908,10.859736460822807,56650.53810438834,1,TRUE
0601302,6,530376.2450848188,316870.809827964,668562.9774288257,837344.456644691,450000,300000,600000,800000,87600,91200,140500,165500,918,917,951,1130,-40.2554671774017,25.245412162212272,57.87744349500065,306968.21155987214,1,TRUE
0601303,6,515576.7985495046,354434.03661338537,623028.9908999515,780729.1441713059,450000,300000,600000,750000,100000,90400,149600,139600,815,873,708,746,-31.254851341152165,25.31184833687434,51.42829281064748,265152.34562180133,1,TRUE
0601700,6,586642.0940938066,435711.38562692,601411.563342318,741781.3085571126,625000,400000,500000,600000,93500,97200,121000,135000,1479,1498,1427,1432,-25.727902921802972,23.340047609775894,26.445291946353,155139.214463306,1,TRUE
0601901,6,359249.66541353386,167411.15695193765,256367.59614417676,281827.8568900723,350000,150000,220000,250000,56910,58000,67000,70220,718,622,637,651,-53.39977373138819,9.931153987018359,-21.550975819098117,-77421.80852346157,0,TRUE
0601902,6,461126.7204736363,230467.2461105134,390199.19932412973,503628.0795353156,450000,200000,350000,430000,77400,80900,104200,115000,821,837,1002,1025,-50.02084332181098,29.069480513455144,9.216850200748503,42501.35906167934,1,TRUE
0602500,6,387917.4832365167,201450.3236396009,234968.2076112157,299408.18618747185,350000,180000,210000,270000,72700,63900,80300,81700,1230,1156,651,635,-48.068769172547235,27.42497771565766,-22.81652693520904,-88509.29704904486,0,TRUE
0603100,6,375312.8709950964,187091.32662366732,257879.04648119703,303194.40755357407,350000,150000,250000,300000,69000,62300,78000,93200,1404,1430,711,791,-50.15057007567648,17.57233156036241,-19.215558275501984,-72118.46344152233,0,TRUE
0603701,6,595818.8060833798,484079.88385165634,538970.0059988003,658478.4813155062,625000,400000,500000,625000,85000,81300,110000,122000,923,893,1201,1221,-18.75384279429517,22.173492770759477,10.516565538442855,62659.67523212638,1,TRUE
0603702,6,642165.7208565124,541252.9160984713,580802.028187572,684415.2486251475,625000,510000,575000,650000,86900,88400,133000,139500,707,761,1642,1647,-15.714449009119477,17.839679513672987,6.579225018782254,42249.527768635075,1,TRUE
0605500,6,536180.6145192104,377602.27190156706,783143.2630477045,999834.2103790584,625000,350000,650000,750000,62700,84600,122400,133500,402,408,1183,1314,-29.57554568805877,27.66938790842339,86.47339782614168,463653.59585984796,1,TRUE
0606101,6,542440.3602007676,414334.0459009278,502842.86771174916,626952.0432836589,625000,400000,500000,600000,87100,92000,128000,143310,1249,1333,1068,1115,-23.616663452628273,24.681502620626688,15.579903208458138,84511.68308289128,1,TRUE
0606102,6,748112.8063097678,731055.8154632266,688741.2822567043,647387.2272843638,875000,600000,550000,620000,121000,112000,136250,136000,1063,1045,1150,1227,-2.2800025213682034,-6.004294506181087,-13.463955993783236,-100725.57902540395,0,FALSE
0606103,6,600408.0448571783,597656.912068309,647777.4039543673,873270.5157689152,625000,500000,600000,700000,86400,110200,138000,128300,545,543,964,1005,-0.4582105140719331,34.810277486991936,45.446171690894616,272862.47091173683,1,FALSE
0606701,6,494387.8429743858,417873.89206829685,353279.6020047606,448604.38043947215,450000,285000,350000,430000,75000,78000,90000,116450,1373,1366,773,844,-15.47650331483842,26.982814148841523,-9.260636802771407,-45783.46253491368,0,TRUE
0606702,6,821874.1287020188,1059407.7922077922,380104.5139631708,477429.28067515,875000,800000,350000,450000,110700,112300,107600,110000,1108,1001,831,892,28.901464982345775,25.60473846974866,-41.909683733547936,-344444.84802686877,0,FALSE
0607501,6,486800.6081391198,334379.19685785874,1803654.5538710798,1896680.7032214392,625000,300000,1500000,1550000,81370,77000,195450,235500,909,865,569,498,-31.310850630182752,5.157647796286859,289.62167908372834,1409880.0950823193,1,TRUE
