puma_geoid,risk_score,sovi_score,resl_score,nri_pop,nri_tracts
0603740,77.75500834122974,57.28846430206153,12.692808908897,127763,28
0603741,64.525092942883,66.91568877246877,12.692808908897,133355,32
0603742,70.92313452643572,65.89825754990153,12.692808908896998,131067,32
0603743,67.24817807642962,62.95564694884314,12.692808908896998,115979,27
0603744,78.52746954353854,71.95373917002587,12.692808908896994,190057,62
0603745,77.81472989250804,81.12370292332427,12.692808908897,121879,30
0603746,90.2371840554303,76.33929802503224,12.692808908897,109171,32
0603747,85.21734782983152,60.78490518678263,12.692808908896996,158820,46
0603748,85.88083564977069,35.075845359568945,12.692808908896998,194646,49
0603749,78.70469866411344,62.190444103226355,12.692808908897,111327,27
0603750,72.29186836665146,72.78528500789177,12.692808908897003,178611,46
0603751,68.2333998237954,72.90997347141534,12.692808908897003,155531,36
0603752,65.17854405446599,56.873455122257155,12.692808908896998,166660,35
0603753,66.54903707265916,43.453430917482,12.692808908897,112838,25
0603754,76.9002451168046,46.82401229296083,12.692808908897,135531,29
0603755,68.8573944512772,47.41894437401822,12.692808908897,118372,25
0603756,68.6007329973027,52.94927078950819,12.692808908896998,118977,26
0603757,71.78322872880631,60.608549068333545,12.692808908897002,158642,35
0603758,77.84246763918614,64.34240293590861,12.692808908897,157815,39
0603759,83.39968538129769,61.071744707866266,12.692808908897,115033,26
0603760,82.36739550069194,22.69734944613468,12.692808908897002,144031,32
0603761,81.85123372855313,42.9533501177694,12.692808908897,126890,30
0603762,81.7283644826869,63.13264091424457,12.692808908896998,119221,27
0603763,64.53557685183473,57.70459850656493,12.692808908897,145268,32
0603764,76.03776441374775,37.357867477800724,12.692808908897003,162725,34
0603765,80.91711003558788,32.42530269164248,12.692808908896998,134779,35
0603766,82.98139813743326,67.22198396131822,12.692808908896998,102364,25
0603767,67.155972076612,58.00392866237093,12.692808908897,179356,53
0603768,76.99291557790391,43.93376274580711,12.692808908897,112258,28
0603769,76.03011225241471,43.797445327067315,12.692808908896998,97543,23
0603900,84.10277456287616,66.65954399232449,4.00426489752399,156146,34
0604101,84.04578800050217,42.74604751894493,98.91955929392255,108206,26
0604102,80.64247258818814,36.98283937498911,98.9195592939225,153966,36
0604701,73.82830678583082,58.31989081386728,3.80405165264779,116338,27
0604702,63.26773752103356,58.43619415162838,3.80405165264779,164716,36
0605301,72.15137819110134,50.1286189675661,22.140741618291695,183462,51
0605302,82.91041336091595,58.36401038645364,22.140741618291703,177155,35
0605303,84.80037979912333,45.107208142054034,31.24563034324323,142084,29
0605500,85.77803731872926,48.71047880100283,66.7409074754176,137956,40
0605700,83.35253696527019,52.90115231824586,52.943336281575704,105295,27
0605901,68.36363338745838,36.957826550536204,14.172491410970299,178696,37
0605902,71.4516655818781,33.55191487874297,14.1724914109703,106236,22
0605903,73.85096273494648,34.810077293236326,14.172491410970299,214135,47
0605904,84.26293267996215,36.70868592134351,14.172491410970302,268477,44
0605905,77.3230582114171,33.5868664152679,14.172491410970295,230968,40
0605906,82.89094363466475,31.78880111122502,14.172491410970304,191696,39
0605907,83.2705953361871,42.407253624703756,14.1724914109703,197666,40
0605908,84.94918814362083,32.58592856625294,14.172491410970302,185027,38
0605909,78.7597298257124,55.21678427099501,14.172491410970302,147411,25
0605910,77.52645725239613,42.67103527552998,14.172491410970302,200289,37
0605911,82.80713743411097,35.8181229286678,14.172491410970299,141390,28
0605912,77.59364375289755,60.041571497395864,14.172491410970306,170158,33
0605913,69.73196454820426,52.12188445454924,14.172491410970299,160313,28
0605914,66.4653695801427,32.267684774454814,14.172491410970302,196308,44
0605915,78.41176278709071,20.788518787339783,14.1724914109703,113244,20
0605916,67.91460753972387,42.86449493341167,14.1724914109703,145234,26
0605917,78.61602002146434,39.00021595281133,14.172491410970299,156132,26
0605918,72.39421833567413,36.58873193030076,14.172491410970297,180267,39
0606101,46.046599972947746,29.904962700066317,75.81684634521982,153925,32
0606102,40.920921043505636,32.03746993773579,75.81684634521982,134470,28
0606103,74.6705165493196,47.13502916786816,75.8168463452198,116195,31
0606501,79.42593999304992,49.71245728303502,9.560478616277692,186391,48
0606502,83.04068744154549,62.26370057531882,9.56047861627769,131866,45
0606503,83.0432735424063,21.14666426690671,9.560478616277692,139890,26
0606504,76.13916809293143,22.91174432349747,9.56047861627769,146239,26
0606505,89.30610477342086,38.47453353816228,9.560478616277688,222112,37
0606506,86.23263496142765,44.46731717836657,9.56047861627769,172729,39
0606507,93.82503536098491,57.38386161808609,9.56047861627769,174552,33
0606508,70.72000420790586,37.450931842405076,9.56047861627769,197078,43
0606509,84.19962649694428,40.27270014454637,9.560478616277688,133623,24
0606510,85.38234751725322,46.95518810018505,9.560478616277692,155424,37
0606511,78.39431212580978,45.277034718958674,9.560478616277692,170401,36
0606512,86.29935655144597,33.33842120658265,9.560478616277688,104525,20
0606513,82.83940511128716,38.09350056070311,9.560478616277688,147410,33
0606514,91.14259355781088,35.75872870425429,9.560478616277692,174767,30
0606515,90.77045896170934,64.72903205200417,9.56047861627769,159831,41
0606701,25.482462637408336,35.49076539862427,43.58488330766501,111579,26
0606702,25.222221504617586,44.358253072151875,43.58488330766501,127361,32
