puma_geoid,hc_share,n_orig
1210303,0.239325144242976,114217
1210304,0.239325144242976,114217
1210305,0.239325144242976,114217
1210306,0.239325144242976,114217
1210307,0.239325144242976,114217
1210308,0.239325144242976,114217
1210501,0.320492348636061,60120
1210502,0.320492348636061,60120
1210503,0.320492348636061,60120
1210504,0.320492348636061,60120
1210700,0.184337293435192,9374
1210900,0.126396783049144,25863
1211101,0.306959030062649,44374
1211102,0.306959030062649,44374
1211300,0.164212973212309,18068
1211501,0.190683098456155,52013
1211502,0.190683098456155,52013
1211503,0.190683098456155,52013
1211701,0.208238577630763,58044
1211702,0.208238577630763,58044
1211703,0.208238577630763,58044
1211704,0.208238577630763,58044
1212701,0.280731802257688,64225
1212702,0.280731802257688,64225
1212703,0.280731802257688,64225
1212704,0.280731802257688,64225
1301200,0.286817837645033,708
1300500,0.311850000325036,945
1301600,0.282372502982832,1603
1303500,0.28791976631791,2001
1303800,0.232831668569338,8244
1302900,0.217043266795015,9869
1300700,0.270370486032186,1016
1301400,0.314540622627183,10536
1301300,0.323925438487371,884
1300200,0.164258041104255,3965
1300300,0.191324423640319,3698
1304200,0.351619673455754,574
1301900,0.295057800333537,3122
1301100,0.359177585634494,697
1300100,0.195729483260411,5868
1302300,0.266833379642493,10797
1302600,0.29500556167062,4657
1300401,0.207133648474431,23270
1300402,0.207133648474431,23270
1301700,0.25049251006669,13738
1303101,0.152590489709013,30998
1303102,0.152590489709013,30998
1303600,0.179259670040205,7213
1301800,0.233142199817395,1061
1305001,0.360726388684249,27148
1305002,0.360726388684249,27148
1303001,0.169923656791665,83308
1303002,0.169923656791665,83308
1303003,0.169923656791665,83308
1303004,0.169923656791665,83308
1303005,0.169923656791665,83308
1300800,0.273274237990005,1629
1304100,0.11024867040391,13914
1302100,0.175803654795251,14994
1303200,0.214410050371529,1931
1301007,0.217327537342145,100069
1301008,0.270875873186459,74440
1302001,0.270875873186459,74440
1302002,0.270875873186459,74440
1302003,0.270875873186459,74440
1302004,0.270875873186459,74440
1300900,0.290181589100335,4355
1304400,0.263249673039796,16057
1303700,0.203216970051772,1985
1302800,0.232326962056101,2938
1302400,0.154199038105808,13515
1302500,0.231700275139014,4713
1303300,0.107302295918367,25088
1301001,0.207189365418928,107047
1301002,0.207189365418928,107047
1301003,0.207189365418928,107047
1301004,0.207189365418928,107047
1301005,0.207189365418928,107047
1301006,0.207189365418928,107047
1304600,0.207189365418928,107047
1304001,0.193336724313327,98300
1304002,0.193336724313327,98300
1304003,0.193336724313327,98300
1304004,0.193336724313327,98300
1304005,0.193336724313327,98300
1304006,0.193336724313327,98300
1303400,0.190734557595993,16772
1302200,0.27114742754112,3615
1306001,0.220564306733599,28885
1306002,0.220564306733599,28885
1301500,0.197450982496563,11838
1303900,0.213587991703319,7867
1300600,0.209115281501341,7087
1304300,0.287911126443257,11494
1304500,0.215289648622982,21060
1304000,0.236158379679588,12047
1302700,0.208579242838635,6947
1500200,0.227902790279028,16665
1500301,0.145368447507308,75601
1500302,0.145368447507308,75601
1500303,0.145368447507308,75601
1500304,0.145368447507308,75601
1500305,0.145368447507308,75601
1500306,0.145368447507308,75601
1500307,0.145368447507308,75601
1500308,0.145368447507308,75601
1500100,0.178608334612485,11964
1600400,0.15847301109293,22438
1600600,0.171289927649433,34633
1600701,0.135711714442697,52781
1600702,0.135711714442697,52781
1600800,0.135711714442697,52781
1600300,0.167294999561725,1550
1601300,0.170225860854538,5422
1600100,0.144942935100733,3009
1601100,0.214079827233532,2062
1601000,0.159272243991838,1598
1601200,0.166682893583877,10271
1600500,0.228350141257819,20071
1600900,0.214980130166479,4411
1600200,0.164535475840217,17674
1700300,0.269715143401092,1158
1700800,0.291885112014602,376
1700501,0.202131710119429,1639
1702901,0.241986939555162,20862
1702501,0.227516160415974,2474
1700401,0.224953639740937,2325
1700104,0.247750354019693,2406
1702100,0.120513710517182,14405
1701602,0.244888058803048,1135
1700700,0.289651475775457,412
1700600,0.216126438200516,1609
1703401,0.255352578535261,617366
1703407,0.255352578535261,617366
1703408,0.255352578535261,617366
1703409,0.255352578535261,617366
1703410,0.255352578535261,617366
1703411,0.255352578535261,617366
1703412,0.255352578535261,617366
1703413,0.255352578535261,617366
1703414,0.255352578535261,617366
1703415,0.255352578535261,617366
1703416,0.255352578535261,617366
1703417,0.255352578535261,617366
1703418,0.255352578535261,617366
1703419,0.255352578535261,617366
1703420,0.255352578535261,617366
1703421,0.255352578535261,617366
1703422,0.255352578535261,617366
1703501,0.255352578535261,617366
1703502,0.255352578535261,617366
1703503,0.255352578535261,617366
1703504,0.255352578535261,617366
1703520,0.255352578535261,617366
1703521,0.255352578535261,617366
1703522,0.255352578535261,617366
1703523,0.255352578535261,617366
1703524,0.255352578535261,617366
