puma_geoid,cluster,cluster_label
1701105,3,Persistently Depressed
1701204,1,Below-Average Recovery
1701205,3,Persistently Depressed
1701300,3,Persistently Depressed
1701500,3,Persistently Depressed
1701602,3,Persistently Depressed
1701701,3,Persistently Depressed
1701900,3,Persistently Depressed
1702000,1,Below-Average Recovery
1702100,3,Persistently Depressed
1702200,3,Persistently Depressed
1702300,3,Persistently Depressed
1702400,3,Persistently Depressed
1702501,3,Persistently Depressed
1702601,3,Persistently Depressed
1702700,3,Persistently Depressed
1702801,3,Persistently Depressed
1702901,3,Persistently Depressed
1703005,3,Persistently Depressed
1703007,1,Below-Average Recovery
1703008,3,Persistently Depressed
1703009,1,Below-Average Recovery
1703102,3,Persistently Depressed
1703105,1,Below-Average Recovery
1703106,1,Below-Average Recovery
1703107,1,Below-Average Recovery
1703108,1,Below-Average Recovery
1703202,1,Below-Average Recovery
1703203,1,Below-Average Recovery
1703204,1,Below-Average Recovery
1703205,1,Below-Average Recovery
1703207,1,Below-Average Recovery
1703208,1,Below-Average Recovery
1703209,1,Below-Average Recovery
1703306,1,Below-Average Recovery
1703307,3,Persistently Depressed
1703308,1,Below-Average Recovery
1703309,1,Below-Average Recovery
1703310,1,Below-Average Recovery
1703401,1,Below-Average Recovery
1703407,3,Persistently Depressed
1703408,2,Boom Markets
1703409,3,Persistently Depressed
1703410,3,Persistently Depressed
1703411,3,Persistently Depressed
1703412,3,Persistently Depressed
1703413,3,Persistently Depressed
1703414,3,Persistently Depressed
1703415,3,Persistently Depressed
1703416,4,Above-Average Recovery
1703417,1,Below-Average Recovery
1703418,3,Persistently Depressed
1703419,3,Persistently Depressed
1703420,3,Persistently Depressed
1703421,1,Below-Average Recovery
1703422,3,Persistently Depressed
1703501,3,Persistently Depressed
1703502,1,Below-Average Recovery
1703503,1,Below-Average Recovery
1703504,1,Below-Average Recovery
1703520,1,Below-Average Recovery
1703521,3,Persistently Depressed
1703522,1,Below-Average Recovery
1703523,3,Persistently Depressed
1703524,1,Below-Average Recovery
1703525,1,Below-Average Recovery
1703526,3,Persistently Depressed
1703527,3,Persistently Depressed
1703528,3,Persistently Depressed
1703529,3,Persistently Depressed
1703530,3,Persistently Depressed
1703531,3,Persistently Depressed
1703532,3,Persistently Depressed
1703601,1,Below-Average Recovery
1703602,1,Below-Average Recovery
1703700,1,Below-Average Recovery
1800101,3,Persistently Depressed
1800102,3,Persistently Depressed
1800103,3,Persistently Depressed
1800104,1,Below-Average Recovery
1800200,1,Below-Average Recovery
1800300,3,Persistently Depressed
1800401,3,Persistently Depressed
1800402,1,Below-Average Recovery
1800500,3,Persistently Depressed
1800600,3,Persistently Depressed
1800700,3,Persistently Depressed
1800800,3,Persistently Depressed
1800900,3,Persistently Depressed
1801001,3,Persistently Depressed
1801002,3,Persistently Depressed
1801003,1,Below-Average Recovery
1801100,3,Persistently Depressed
1801200,3,Persistently Depressed
1801300,3,Persistently Depressed
1801400,3,Persistently Depressed
1801500,3,Persistently Depressed
1801600,3,Persistently Depressed
1801700,3,Persistently Depressed
1801801,1,Below-Average Recovery
1801802,1,Below-Average Recovery
1801803,1,Below-Average Recovery
1801900,3,Persistently Depressed
1802000,3,Persistently Depressed
1802100,3,Persistently Depressed
1802200,1,Below-Average Recovery
1802301,3,Persistently Depressed
1802302,1,Below-Average Recovery
1802303,1,Below-Average Recovery
1802304,3,Persistently Depressed
1802305,2,Boom Markets
1802306,3,Persistently Depressed
1802307,3,Persistently Depressed
1802400,1,Below-Average Recovery
1802500,1,Below-Average Recovery
1802600,3,Persistently Depressed
1802700,3,Persistently Depressed
1802800,3,Persistently Depressed
1802900,3,Persistently Depressed
1803000,3,Persistently Depressed
1803100,3,Persistently Depressed
1803200,3,Persistently Depressed
1803300,3,Persistently Depressed
1803400,3,Persistently Depressed
1803500,3,Persistently Depressed
1803600,3,Persistently Depressed
1900100,3,Persistently Depressed
1900200,3,Persistently Depressed
1900400,3,Persistently Depressed
1900500,1,Below-Average Recovery
1900600,3,Persistently Depressed
1900700,3,Persistently Depressed
1900800,3,Persistently Depressed
1900900,1,Below-Average Recovery
1901000,1,Below-Average Recovery
1901100,1,Below-Average Recovery
1901200,3,Persistently Depressed
1901300,1,Below-Average Recovery
1901400,1,Below-Average Recovery
1901500,1,Below-Average Recovery
1901600,1,Below-Average Recovery
1901700,3,Persistently Depressed
1901800,3,Persistently Depressed
1901900,3,Persistently Depressed
1902000,3,Persistently Depressed
1902100,3,Persistently Depressed
1902200,3,Persistently Depressed
1902300,3,Persistently Depressed
2000100,3,Persistently Depressed
2000200,3,Persistently Depressed
2000300,3,Persistently Depressed
2000400,3,Persistently Depressed
2000500,3,Persistently Depressed
2000601,1,Below-Average Recovery
2000602,1,Below-Average Recovery
2000603,1,Below-Average Recovery
2000604,1,Below-Average Recovery
2000700,1,Below-Average Recovery
2000801,3,Persistently Depressed
2000802,3,Persistently Depressed
2000900,3,Persistently Depressed
2001000,3,Persistently Depressed
2001100,3,Persistently Depressed
2001200,3,Persistently Depressed
2001301,1,Below-Average Recovery
2001302,3,Persistently Depressed
2001303,3,Persistently Depressed
2001304,3,Persistently Depressed
2001400,3,Persistently Depressed
2001500,3,Persistently Depressed
2100100,3,Persistently Depressed
2100200,3,Persistently Depressed
2100300,3,Persistently Depressed
2100400,3,Persistently Depressed
2100500,3,Persistently Depressed
2100600,3,Persistently Depressed
2100700,3,Persistently Depressed
2100800,3,Persistently Depressed
2100900,3,Persistently Depressed
2101000,3,Persistently Depressed
2101100,3,Persistently Depressed
2101200,3,Persistently Depressed
2101300,3,Persistently Depressed
2101400,3,Persistently Depressed
2101500,3,Persistently Depressed
2101600,3,Persistently Depressed
2101701,3,Persistently Depressed
2101702,1,Below-Average Recovery
2101703,1,Below-Average Recovery
2101704,1,Below-Average Recovery
2101705,3,Persistently Depressed
2101706,3,Persistently Depressed
2101800,1,Below-Average Recovery
2101901,3,Persistently Depressed
2101902,1,Below-Average Recovery
2102000,3,Persistently Depressed
2102100,3,Persistently Depressed
2102200,3,Persistently Depressed
2102300,3,Persistently Depressed
2102400,1,Below-Average Recovery
2102500,1,Below-Average Recovery
2102600,3,Persistently Depressed
2102700,3,Persistently Depressed
2102800,3,Persistently Depressed
2200100,3,Persistently Depressed
2200101,3,Persistently Depressed
2200200,3,Persistently Depressed
2200300,3,Persistently Depressed
2200400,3,Persistently Depressed
2200500,3,Persistently Depressed
2200600,3,Persistently Depressed
2200700,3,Persistently Depressed
2200800,3,Persistently Depressed
2200900,3,Persistently Depressed
2201000,3,Persistently Depressed
2201100,3,Persistently Depressed
2201200,3,Persistently Depressed
2201201,3,Persistently Depressed
2201300,3,Persistently Depressed
2201400,3,Persistently Depressed
2201500,3,Persistently Depressed
2201501,3,Persistently Depressed
2201502,3,Persistently Depressed
2201600,3,Persistently Depressed
2201700,3,Persistently Depressed
2201800,3,Persistently Depressed
2201900,3,Persistently Depressed
2202000,3,Persistently Depressed
2202100,3,Persistently Depressed
2202200,3,Persistently Depressed
2202201,3,Persistently Depressed
2202300,3,Persistently Depressed
2202301,3,Persistently Depressed
2202302,3,Persistently Depressed
2202400,3,Persistently Depressed
2202401,3,Persistently Depressed
2202402,3,Persistently Depressed
2202500,3,Persistently Depressed
2300100,3,Persistently Depressed
2300200,3,Persistently Depressed
2300300,3,Persistently Depressed
2300400,3,Persistently Depressed
2300500,3,Persistently Depressed
2300600,1,Below-Average Recovery
2300700,1,Below-Average Recovery
2300800,1,Below-Average Recovery
2300900,1,Below-Average Recovery
2301000,1,Below-Average Recovery
2400100,3,Persistently Depressed
2400200,1,Below-Average Recovery
2400301,1,Below-Average Recovery
2400302,1,Below-Average Recovery
2400400,1,Below-Average Recovery
2400501,1,Below-Average Recovery
2400502,1,Below-Average Recovery
2400503,1,Below-Average Recovery
2400504,1,Below-Average Recovery
2400505,1,Below-Average Recovery
2400506,3,Persistently Depressed
2400507,1,Below-Average Recovery
2400601,1,Below-Average Recovery
2400602,1,Below-Average Recovery
2400700,1,Below-Average Recovery
2400801,3,Persistently Depressed
2400802,1,Below-Average Recovery
2400803,3,Persistently Depressed
2400804,3,Persistently Depressed
2400805,3,Persistently Depressed
2400901,4,Above-Average Recovery
2400902,1,Below-Average Recovery
2401001,1,Below-Average Recovery
2401002,1,Below-Average Recovery
2401003,1,Below-Average Recovery
2401004,4,Above-Average Recovery
2401005,1,Below-Average Recovery
2401006,1,Below-Average Recovery
2401007,1,Below-Average Recovery
2401101,1,Below-Average Recovery
2401102,1,Below-Average Recovery
2401103,1,Below-Average Recovery
2401104,1,Below-Average Recovery
2401105,1,Below-Average Recovery
2401106,1,Below-Average Recovery
2401107,1,Below-Average Recovery
2401201,1,Below-Average Recovery
2401202,1,Below-Average Recovery
2401203,1,Below-Average Recovery
2401204,1,Below-Average Recovery
2401300,3,Persistently Depressed
2401400,3,Persistently Depressed
2401500,1,Below-Average Recovery
2401600,1,Below-Average Recovery
2500100,3,Persistently Depressed
2500200,1,Below-Average Recovery
2500300,1,Below-Average Recovery
2500301,1,Below-Average Recovery
2500302,1,Below-Average Recovery
2500303,1,Below-Average Recovery
2500304,1,Below-Average Recovery
2500400,1,Below-Average Recovery
2500501,1,Below-Average Recovery
2500502,1,Below-Average Recovery
2500503,4,Above-Average Recovery
2500504,1,Below-Average Recovery
2500505,4,Above-Average Recovery
2500506,4,Above-Average Recovery
2500507,1,Below-Average Recovery
2500508,1,Below-Average Recovery
2500701,1,Below-Average Recovery
2500702,1,Below-Average Recovery
2500703,1,Below-Average Recovery
2500704,1,Below-Average Recovery
2501000,1,Below-Average Recovery
2501300,1,Below-Average Recovery
2501400,4,Above-Average Recovery
2501600,1,Below-Average Recovery
2501900,3,Persistently Depressed
2501901,1,Below-Average Recovery
2501902,1,Below-Average Recovery
2502400,1,Below-Average Recovery
2502800,1,Below-Average Recovery
2503301,1,Below-Average Recovery
2503302,4,Above-Average Recovery
2503303,1,Below-Average Recovery
2503304,1,Below-Average Recovery
2503305,1,Below-Average Recovery
2503306,1,Below-Average Recovery
2503400,4,Above-Average Recovery
2503500,4,Above-Average Recovery
2503601,1,Below-Average Recovery
2503602,1,Below-Average Recovery
2503603,1,Below-Average Recovery
2503900,1,Below-Average Recovery
2504000,1,Below-Average Recovery
2504200,1,Below-Average Recovery
2504301,1,Below-Average Recovery
2504302,1,Below-Average Recovery
2504303,1,Below-Average Recovery
2504500,1,Below-Average Recovery
2504700,1,Below-Average Recovery
2504800,1,Below-Average Recovery
2504901,1,Below-Average Recovery
2504902,1,Below-Average Recovery
2504903,1,Below-Average Recovery
2600100,3,Persistently Depressed
2600200,3,Persistently Depressed
2600300,3,Persistently Depressed
2600400,3,Persistently Depressed
2600500,3,Persistently Depressed
2600600,3,Persistently Depressed
2600700,3,Persistently Depressed
2600801,1,Below-Average Recovery
2600802,1,Below-Average Recovery
2600900,1,Below-Average Recovery
2601001,1,Below-Average Recovery
2601002,3,Persistently Depressed
2601003,1,Below-Average Recovery
2601004,1,Below-Average Recovery
2601100,3,Persistently Depressed
2601200,3,Persistently Depressed
2601300,3,Persistently Depressed
2601400,3,Persistently Depressed
2601500,3,Persistently Depressed
2601600,3,Persistently Depressed
2601701,1,Below-Average Recovery
2601702,3,Persistently Depressed
2601703,3,Persistently Depressed
2601704,3,Persistently Depressed
2601801,1,Below-Average Recovery
2601802,3,Persistently Depressed
2601900,1,Below-Average Recovery
2602000,3,Persistently Depressed
2602101,1,Below-Average Recovery
2602102,1,Below-Average Recovery
2602200,3,Persistently Depressed
2602300,3,Persistently Depressed
2602400,3,Persistently Depressed
2602500,3,Persistently Depressed
2602600,1,Below-Average Recovery
2602701,1,Below-Average Recovery
2602702,1,Below-Average Recovery
2602703,1,Below-Average Recovery
2602800,1,Below-Average Recovery
