county_geoid,hc_share,n_orig
13011,0.277822908204712,1231
48267,0.371794871794872,78
21031,0.320987654320988,405
12121,0.339402767662054,1373
20141,0.209302325581395,86
13013,0.248796498905908,9140
21033,0.347912524850895,503
12123,0.33843797856049,653
20143,0.257575757575758,264
13015,0.217043266795015,9869
12125,0.324929971988796,357
21035,0.119120654396728,1956
54101,0.346153846153846,286
13017,0.386648122392211,719
20145,0.258373205741627,209
12127,0.280731802257688,64225
54103,0.214402618657938,611
21037,0.157388316151203,8730
20147,0.26027397260274,73
13019,0.331877729257642,916
21039,0.196428571428571,56
54105,0.25,236
12129,0.23668869024485,2573
20149,0.152005629838142,1421
54107,0.164032606887373,6011
54109,0.470588235294118,425
08071,0.30893300248139,806
08073,0.286764705882353,272
08075,0.221570066030814,1363
48271,0.246913580246914,81
08077,0.167317775264727,19454
08079,0.133333333333333,60
48273,0.345980126467931,1107
48275,0.756756756756757,74
05001,0.36241610738255,745
13021,0.314540622627183,10536
12131,0.179248723559446,5484
05003,0.387211367673179,563
21041,0.309751434034417,523
48277,0.32512315270936,1218
13023,0.267441860465116,344
20151,0.333333333333333,426
21043,0.302387267904509,754
12133,0.255517826825127,1178
05005,0.208572522005358,2613
48279,0.510752688172043,372
13025,0.305851063829787,376
55001,0.296005706134094,1402
05007,0.154046997389034,24895
21045,0.315649867374005,377
13027,0.402898550724638,690
55003,0.311764705882353,850
20155,0.265858690046416,3878
05009,0.345310136157337,2644
21047,0.182376043200785,4074
20157,0.388429752066116,121
13029,0.123809523809524,3780
55005,0.231643924626381,3078
21049,0.19862370972787,3197
20159,0.418181818181818,275
55007,0.267509727626459,1028
55009,0.13587818547108,28371
08081,0.184,1250
08083,0.191489361702128,1645
08085,0.165836101882614,3612
48281,0.192229038854806,1467
08087,0.29683698296837,2055
48283,0.548387096774194,62
08089,0.366487455197133,1116
05011,0.348623853211009,218
48285,0.267813267813268,407
13031,0.178637770897833,3230
05013,0.540540540540541,111
21051,0.401639344262295,366
48287,0.352941176470588,459
20161,0.109517144856543,2858
13033,0.369088811995386,867
21053,0.307692307692308,182
05015,0.245428973277075,1422
48289,0.327510917030568,458
55011,0.225108225108225,693
46101,0.205128205128205,351
13035,0.266502463054187,2030
20163,0.244897959183673,147
05017,0.319047619047619,210
21055,0.364457831325301,332
13037,0.578512396694215,121
20165,0.453237410071943,139
55013,0.225418060200669,1495
46103,0.145884180164189,9014
21057,0.285714285714286,126
05019,0.248883928571429,896
46105,0.137931034482759,87
13039,0.178558493299529,5522
20167,0.235507246376812,276
55015,0.138975582889664,5447
21059,0.178336980306346,7312
46107,0.228571428571429,70
55017,0.224303632513439,6139
20169,0.183850931677019,3220
46109,0.196551724137931,290
55019,0.215048975957257,2246
08091,0.0907258064516129,496
08093,0.188246385920805,3182
08095,0.171641791044776,268
08097,0.0432534085566526,2127
48291,0.391155002146844,2329
08099,0.304054054054054,444
48293,0.408119658119658,468
05021,0.438474870017331,577
05023,0.203460207612457,1445
48297,0.35202492211838,321
21061,0.298578199052133,633
13043,0.285211267605634,284
20171,0.396039603960396,101
05025,0.366666666666667,300
21063,0.233766233766234,77
47001,0.249225473321859,5810
48299,0.168600154679041,1293
46111,0.358490566037736,53
20173,0.202125649504015,42340
55021,0.192852644836272,6352
13045,0.266833379642493,10797
47003,0.302574389836175,2991
05027,0.308908045977012,696
21065,0.368421052631579,665
20175,0.179666958808063,1141
13047,0.258689839572193,5984
55023,0.259833134684148,839
47005,0.307692307692308,754
21067,0.145997043491792,25706
05029,0.279120879120879,910
46115,0.215469613259669,181
20177,0.1854403639909,15385
55025,0.0948018586377545,52942
13049,0.350993377483444,302
47007,0.550473186119874,634
21069,0.269230769230769,442
20179,0.224137931034483,58
46117,0.15625,160
55027,0.215673740731271,7822
47009,0.226188388002105,11402
46119,0.169230769230769,65
55029,0.158505154639175,2328
05031,0.227000460758716,6511
