puma_geoid,state_fips,puma_code,puma_name
0603724,06,03724,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA
0601500,06,01500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA"
0603746,06,03746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA
0603721,06,03721,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA
0603737,06,03737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA
0603754,06,03754,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA
0603755,06,03755,Los Angeles County (Southeast)--Norwalk City PUMA
0603752,06,03752,Los Angeles County (South)--South Gate & Lynwood Cities PUMA
0603742,06,03742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA"
0605302,06,05302,Monterey County (Northeast)--Salinas City PUMA
0608501,06,08501,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA"
0608106,06,08106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA"
0608105,06,08105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA"
0608103,06,08103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA"
0608102,06,08102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA"
0607504,06,07504,San Francisco County (Central)--Inner Mission & Castro PUMA
0607502,06,07502,San Francisco County (North & East)--North Beach & Chinatown PUMA
0604102,06,04102,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA"
0609702,06,09702,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA"
0600701,06,00701,Butte County (Northwest)--Chico City PUMA
0609903,06,09903,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA"
0604702,06,04702,Merced County (Northeast)--Merced & Atwater Cities PUMA
0604701,06,04701,Merced County (West & South)--Los Banos & Livingston Cities PUMA
0601902,06,01902,Fresno County (North Central)--Fresno City (North) PUMA
0601906,06,01906,Fresno County (Central)--Clovis City PUMA
0610701,06,10701,Tulare County (Northwest)--Visalia City PUMA
0602902,06,02902,Kern County (Central)--Bakersfield City (West) PUMA
0605908,06,05908,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA"
0603765,06,03765,Los Angeles County (Southeast)--Long Beach City (East) PUMA
0603769,06,03769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA
0603766,06,03766,Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA
0603767,06,03767,Los Angeles County (South)--LA City (South/San Pedro) PUMA
0603748,06,03748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA
0603728,06,03728,Los Angeles County (Southwest)--Santa Monica City PUMA
0603727,06,03727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA
0611103,06,11103,Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA
0611104,06,11104,Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA
0611105,06,11105,"Ventura County (North)--Santa Paula, Fillmore & Ojai Cities PUMA"
0608302,06,08302,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA"
0605301,06,05301,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA"
0608701,06,08701,Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA
0608101,06,08101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA"
0607506,06,07506,San Francisco County (South Central)--Sunset District (South) PUMA
0607901,06,07901,San Luis Obispo County (West)--Coastal Region PUMA
0605303,06,05303,Monterey (South & East) & San Benito Counties PUMA
0608702,06,08702,Santa Cruz County (South & Coastal)--Santa Cruz City PUMA
0608104,06,08104,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA
0607501,06,07501,San Francisco County (North & West)--Richmond District PUMA
0604101,06,04101,Marin County (North & West)--Novato & San Rafael (North) Cities PUMA
0609701,06,09701,"Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA"
0603300,06,03300,Lake & Mendocino Counties PUMA
0602300,06,02300,Humboldt County PUMA
0608900,06,08900,Shasta County--Redding City PUMA
0610100,06,10100,Sutter & Yuba Counties--Yuba City PUMA
0603900,06,03900,Madera County--Madera City PUMA
0601907,06,01907,"Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA"
0610703,06,10703,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA"
0602905,06,02905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA"
0606515,06,06515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA"
0607307,06,07307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA"
0607505,06,07505,San Francisco County (Central)--Sunset District (North) PUMA
0606711,06,06711,"Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA"
0607704,06,07704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA"
0609901,06,09901,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities PUMA"
0601904,06,01904,Fresno County (Central)--Fresno City (Southwest) PUMA
0601903,06,01903,Fresno County (Central)--Fresno City (East Central) PUMA
0601905,06,01905,Fresno County (Central)--Fresno City (Southeast) PUMA
0608512,06,08512,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA
0608502,06,08502,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA
0600108,06,00108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA"
