puma_geoid,lisa_p,lisa_type
1200902,0.006877862326976742,High-High
1206100,0.0010454920386655585,High-High
1211101,0.0331546796134117,High-High
1208500,0.006124046588797156,High-High
1209902,2.449706308959527e-4,High-High
1201109,0.012805883621377979,High-High
1208700,2.9103770996517515e-4,High-High
1202102,0.932324389484317,Not Significant
1207101,0.023509174756596474,Spatial Outlier
1201500,0.00580876690976088,High-High
1211502,0.012918818382513075,High-High
1209906,0.018267336786495697,High-High
1209907,0.39553598103644977,Not Significant
1209908,0.02662550463197145,High-High
1201103,0.04135168825403387,High-High
1201104,7.774182795512827e-4,High-High
1201108,5.744862882305795e-4,High-High
1201113,0.03259147894340251,High-High
1201114,0.007472346612863151,High-High
1208604,2.221924907232358e-4,Spatial Outlier
1208612,4.078876528781138e-7,High-High
1201701,0.17753423381445665,Not Significant
1203302,0.9116734836031692,Not Significant
1203104,0.5370832756892394,Not Significant
1210700,0.35742668533321875,Not Significant
1212702,0.23317401162972684,Not Significant
1209901,0.11567854136059746,Not Significant
1209903,4.118678449869468e-4,High-High
1209905,2.0299586023372497e-4,High-High
1208614,0.01277045206420138,High-High
1208616,0.020074484354520323,Spatial Outlier
1208623,0.029487556710195307,High-High
1210308,0.023368770557707468,High-High
1210305,0.025506370572417024,High-High
1210303,0.04088353182788686,High-High
1210302,0.16708885392264683,Not Significant
1207301,0.728390075163046,Not Significant
1201900,0.12116742266975769,Not Significant
1203102,0.19697043726296554,Not Significant
1203103,0.1884947498355536,Not Significant
1203105,0.12125192783528059,Not Significant
1200901,0.0037967753619889744,High-High
1201107,0.018395745531155725,High-High
1201102,0.03036181395514421,High-High
1209910,2.186265237338964e-5,Spatial Outlier
1208606,9.933017795533272e-6,High-High
1208610,3.45411141323372e-7,High-High
1208609,8.229517717104101e-4,High-High
1208607,2.6634224226731735e-4,High-High
1208602,2.391812873758231e-8,High-High
1210104,0.0023010511421177656,High-High
1206902,0.309837452799212,Not Significant
1208302,0.6111305294337649,Not Significant
1209508,0.018750669123882548,High-High
1210504,9.65245745477572e-6,High-High
1205701,0.09544409150461457,Not Significant
1205704,0.01266266595440201,High-High
1210101,0.0189105582790688,High-High
1206903,8.526925358543446e-5,High-High
1206901,0.13498053693777687,Not Significant
1209300,4.220559661538282e-4,High-High
1207104,0.031372890606835825,High-High
1202700,0.010559678764698262,High-High
1205707,0.010834049041438034,High-High
1205703,0.023900160042544104,High-High
1210306,0.04076147466314382,High-High
1208303,0.3204244108625898,Not Significant
1200101,0.87360024619066,Not Significant
1203106,0.2661455117930475,Not Significant
1212701,0.05353235255636576,Not Significant
1211704,0.0021194499213123804,High-High
1209510,8.691958203340166e-4,High-High
1209509,9.193193250109635e-6,High-High
1209702,7.946979110098346e-5,High-High
1209904,0.003641604968717039,High-High
1209909,0.044624909084858735,High-High
1208615,0.021066350222839893,High-High
1208620,0.3121118998988234,Not Significant
1201110,0.07101819822377793,Not Significant
1211702,0.1963435155501907,Not Significant
1211703,0.0671030867605348,Not Significant
1209504,4.069373876565377e-4,High-High
1209701,4.627845102276194e-4,High-High
1210502,0.006457359433736295,High-High
1210503,0.003698752520379067,High-High
1205706,0.019448917266638017,High-High
1211701,0.012487016567865411,High-High
1209505,1.7577258959347223e-5,High-High
1205705,0.004341013514931078,High-High
1202103,0.21011877013656938,Not Significant
1202101,0.48806632069574807,Not Significant
1207105,0.0074189681524019025,High-High
1207102,0.003366946909724085,High-High
1211503,0.10020923306142744,Not Significant
1211501,0.07904963168186752,Not Significant
1208103,0.025069435319153004,High-High
1208101,0.08599091470924944,Not Significant
1208618,0.3140990727533794,Not Significant
1208608,0.05727494681671651,Not Significant
1200903,8.589425804512399e-4,High-High
1200904,0.19700549752644345,Not Significant
1208603,1.9103872081772122e-4,High-High
1208611,4.85182017487531e-6,High-High
1208613,0.10446885493707574,Not Significant
1208624,0.014354317808708703,High-High
1201101,0.002010394601220127,High-High
1207103,0.01026377800797032,High-High
1205702,0.0015255272416226661,High-High
1210307,0.011901429103417805,High-High
1210304,0.010876573362022914,High-High
1210102,0.005742361812926761,High-High
1210501,4.1876035278827067e-4,High-High
1209501,0.006279554051665929,High-High
1209503,3.257233218235158e-8,High-High
1209502,0.0027826515513749493,High-High
1209507,1.6465988747581506e-4,High-High
1209506,0.001667195247934473,High-High
1208601,1.120082128681402e-4,High-High
1201112,0.014976645280117655,High-High
1201111,0.16325690149679714,Not Significant
1201106,0.009610075421745544,High-High
1201105,8.038939656572267e-4,High-High
1209911,4.8828017827711e-4,High-High
1208301,0.536366522011481,Not Significant
1200102,0.7784219319759242,Not Significant
1203107,0.21070139748287153,Not Significant
1212704,0.026841575478838437,High-High
1211102,0.11665115426247696,Not Significant
1208605,3.1328485735503353e-4,High-High
1208617,0.2963026949587001,Not Significant
1208622,0.01761400650521479,High-High
1208621,0.2786330533012146,Not Significant
1208619,0.3436578483756914,Not Significant
1301700,0.15048998359531446,Not Significant
1302200,0.8837980768781394,Not Significant
1302300,0.4529505874961997,Not Significant
1302500,0.3396823794916941,Not Significant
1300401,0.38035111680615363,Not Significant
1301200,0.15408625395090442,Not Significant
1302100,0.4028158819489953,Not Significant
1301004,0.011805002486327936,High-High
1304500,0.06722377462583863,Not Significant
1302900,0.4061498055586713,Not Significant
1303400,0.4835171344086012,Not Significant
1303800,0.2390896745629691,Not Significant
1301300,0.08238395469835494,Not Significant
1300900,0.13683357011171038,Not Significant
1304001,0.9711300930906616,Not Significant
1304006,0.5321627130945799,Not Significant
1302003,0.1935219771662151,Not Significant
1302004,0.8329834392500843,Not Significant
1301005,0.8619886688783107,Not Significant
1304004,0.22196890818626802,Not Significant
1306002,0.028081976004759587,High-High
1303005,0.598022838909931,Not Significant
1304002,0.2853994255819137,Not Significant
1304003,0.2964862477143262,Not Significant
1301008,0.007981044579123546,High-High
1301007,5.01158273403698e-4,High-High
1303001,0.30305720517874224,Not Significant
1304005,0.2996936811810259,Not Significant
1301006,0.02607622382873971,Spatial Outlier
1301002,0.9342988252314945,Not Significant
1302001,0.29048347534912833,Not Significant
1302002,0.20632730159167767,Not Significant
1301001,0.9098673776764573,Not Significant
1301900,0.846146242463008,Not Significant
1302400,0.09098679767097004,Not Significant
1304400,0.004863613673561037,High-High
1302600,0.3074149332815166,Not Significant
1302700,0.9904841432883957,Not Significant
1302800,0.9800471583085173,Not Significant
1303102,0.5209897431015054,Not Significant
1303300,0.7870422882690918,Not Significant
1303600,0.5158220276372307,Not Significant
1303900,0.392818583248481,Not Significant
1301600,0.3004950771887833,Not Significant
1303200,0.7474045480080227,Not Significant
1303500,0.6758455027832597,Not Significant
1303700,0.7744756433712358,Not Significant
1304200,0.1862844573593396,Not Significant
1304100,0.21520971759431745,Not Significant
1304000,0.2913002815432426,Not Significant
1300300,0.13782851352972295,Not Significant
1300402,0.2402442631555618,Not Significant
1300200,0.23857642923971012,Not Significant
1300100,0.6808676112933442,Not Significant
1300500,0.5838429403797698,Not Significant
1300600,0.22096768380253268,Not Significant
1300700,0.13800457811965894,Not Significant
1300800,0.0657819816279046,Not Significant
1301100,0.1601279423327915,Not Significant
1301800,0.03256987006911168,Low-Low (Unrecovered Core)
1301003,2.9498299571885586e-5,High-High
1303101,0.8453623400177744,Not Significant
1301500,0.22083956050935183,Not Significant
1301400,0.290414443085091,Not Significant
1305001,0.1162136078833627,Not Significant
1305002,0.007862882622581717,High-High
1303004,0.018935643760108804,High-High
1303003,0.05928914121560333,Not Significant
1303002,0.1439694620525971,Not Significant
1304300,0.04119783427341195,High-High
1306001,0.2853479056957797,Not Significant
1304600,0.06286701797580167,Not Significant
1600800,1.4050203795240481e-11,High-High
1600701,2.9034953677681104e-9,High-High
1600600,4.188468458648731e-11,High-High
1600702,8.367698708554437e-7,High-High
1600100,0.02056938104668457,High-High
1600400,1.845249801298897e-10,High-High
1600300,0.0027666654551789676,High-High
1600200,0.053534676791806166,Not Significant
1601100,0.247206719022217,Not Significant
1601200,0.6331039715672233,Not Significant
1601300,0.044512181572654665,High-High
1600900,2.8317309479490067e-4,High-High
1600500,1.3176734404276464e-5,High-High
1601000,3.408309395115982e-6,High-High
1703411,0.03755384907851035,Low-Low (Unrecovered Core)
1703107,0.010329538812578505,Low-Low (Unrecovered Core)
1703700,0.0010765183792750786,Low-Low (Unrecovered Core)
1702000,0.01470525294835002,Low-Low (Unrecovered Core)
1701602,0.0024060111261441745,Low-Low (Unrecovered Core)
1702400,0.042618064389781725,Low-Low (Unrecovered Core)
1703007,0.05373740931292543,Not Significant
1702700,0.03792282869190868,Low-Low (Unrecovered Core)
1702801,0.06222411194619437,Not Significant
1702901,0.04685053181672253,Low-Low (Unrecovered Core)
1703601,0.021415442820427805,Low-Low (Unrecovered Core)
1703306,0.05178170037035666,Not Significant
1703307,0.051085259956845305,Not Significant
1703416,0.02151004844398556,Low-Low (Unrecovered Core)
1703532,0.05208823494858067,Not Significant
1703413,0.03174544794298479,Low-Low (Unrecovered Core)
1703414,0.03977322873313416,Low-Low (Unrecovered Core)
1703108,0.026833153222461922,Low-Low (Unrecovered Core)
1702300,0.06887264905579694,Not Significant
1702200,0.002273686203263606,Low-Low (Unrecovered Core)
1700600,0.013703501102976561,Low-Low (Unrecovered Core)
1700700,0.03888204949062058,Low-Low (Unrecovered Core)
1700800,0.0340939395669787,Low-Low (Unrecovered Core)
1700900,0.2798954098140871,Not Significant
1701001,0.015237706785039351,Low-Low (Unrecovered Core)
1700202,0.004231437959663759,Low-Low (Unrecovered Core)
